A43 mntdwchair 4 3 7 4 2
A53 mntdwchair 5 3 7 4 2
M28 barmask 2 8 7 0 1
s78 mntdwsofa2 7 8 7 2 2
t88 mntdwtable2 8 8 7 0 2
s98 mntdwsofa2 9 8 7 6 2
y218 paalu5 21 8 8 0 1
M29 barmask 2 9 7 0 1
S79 mntdwsofa1 7 9 7 2 2
T89 mntdwtable1 8 9 7 0 2
S99 mntdwsofa1 9 9 7 6 2
y219 paalu5 21 9 8 0 1
M210 barmask 2 10 7 0 1
y2110 paalu5 21 10 8 0 1
M211 barmask 2 11 7 0 1
y2111 paalu5 21 11 8 0 1
M212 barmask 2 12 7 0 1
s712 mntdwsofa2 7 12 7 4 2
S812 mntdwsofa1 8 12 7 4 2
e2112 paalu3 21 12 8 0 1
M213 barmask 2 13 7 0 1
t713 mntdwtable2 7 13 7 2 1
T813 mntdwtable1 8 13 7 2 1
e2113 paalu3 21 13 8 0 1
M214 barmask 2 14 7 0 1
s714 mntdwsofa2 7 14 7 0 2
S814 mntdwsofa1 8 14 7 0 2
e2114 paalu3 21 14 8 0 1
M215 barmask 2 15 100000 0 1
q2115 paalu1 21 15 8 0 1
M216 barmask 2 16 100000 0 1
s1216 mntdwsofa2 12 16 7 4 2
S1316 mntdwsofa1 13 16 7 4 2
q2116 paalu1 21 16 8 0 1
A317 mntdwchair 3 17 7 2 2
s617 mntdwsofa2 6 17 7 2 2
t717 mntdwtable2 7 17 7 0 1
s817 mntdwsofa2 8 17 7 6 2
t1217 mntdwtable2 12 17 7 2 1
T1317 mntdwtable1 13 17 7 2 1
q2117 paalu1 21 17 8 0 1
A318 mntdwchair 3 18 7 2 2
S618 mntdwsofa1 6 18 7 2 2
T718 mntdwtable1 7 18 7 0 1
S818 mntdwsofa1 8 18 7 6 2
s1218 mntdwsofa2 12 18 7 0 2
S1318 mntdwsofa1 13 18 7 0 2
q2118 paalu1 21 18 8 0 1
