c53 gold_chair 5 3 1 2 2
t63 gold_table_small1 6 3 1 6 1
c73 gold_chair 7 3 1 6 2
5103 gold_bardesk5 10 3 1 0 1
4113 gold_bardesk4 11 3 1 0 1
3123 gold_bardesk3 12 3 1 0 1
2133 gold_bardesk2 13 3 1 0 1
1143 gold_bardesk1 14 3 1 0 1
c54 gold_chair 5 4 1 2 2
y64 gold_table_small2 6 4 1 6 1
c74 gold_chair 7 4 1 6 2
c05 gold_chair 0 5 1 2 2
t15 gold_table_small1 1 5 1 6 1
c25 gold_chair 2 5 1 6 2
c06 gold_chair 0 6 1 2 2
y16 gold_table_small2 1 6 1 6 1
c26 gold_chair 2 6 1 6 2
c56 gold_chair 5 6 1 2 2
t66 gold_table_small1 6 6 1 6 1
c76 gold_chair 7 6 1 6 2
c57 gold_chair 5 7 1 2 2
y67 gold_table_small2 6 7 1 6 1
c77 gold_chair 7 7 1 6 2
c08 gold_chair 0 8 1 2 2
t18 gold_table_small1 1 8 1 6 1
c28 gold_chair 2 8 1 6 2
c198 gold_chair 19 8 1 4 2
c208 gold_chair 20 8 1 4 2
c09 gold_chair 0 9 1 2 2
y19 gold_table_small2 1 9 1 6 1
c29 gold_chair 2 9 1 6 2
c149 gold_chair 14 9 1 4 2
c159 gold_chair 15 9 1 4 2
t1910 gold_table_small1 19 10 1 0 1
y2010 gold_table_small2 20 10 1 0 1
t1411 gold_table_small1 14 11 1 0 1
y1511 gold_table_small2 15 11 1 0 1
p012 gold_plant 0 12 1 0 2
c112 gold_chair 1 12 1 0 2
c212 gold_chair 2 12 1 0 2
c312 gold_chair 3 12 1 0 2
c1912 gold_chair 19 12 1 0 2
c2012 gold_chair 20 12 1 0 2
p013 gold_plant 0 13 1 0 1
c113 gold_chair 1 13 1 4 2
c213 gold_chair 2 13 1 4 2
c313 gold_chair 3 13 1 4 2
c1413 gold_chair 14 13 1 0 2
c1513 gold_chair 15 13 1 0 2
c014 gold_chair 0 14 1 2 2
c1414 gold_chair 14 14 1 4 2
c1514 gold_chair 15 14 1 4 2
c015 gold_chair 0 15 1 2 2
t215 gold_table_small1 2 15 1 0 1
y315 gold_table_small2 3 15 1 0 1
c016 gold_chair 0 16 1 2 2
t1416 gold_table_small1 14 16 1 0 1
y1516 gold_table_small2 15 16 1 0 1
p017 gold_plant 0 17 1 0 1
c117 gold_chair 1 17 1 0 2
c217 gold_chair 2 17 1 0 2
c317 gold_chair 3 17 1 0 2
p018 gold_plant 0 18 1 0 1
c118 gold_chair 1 18 1 4 2
c218 gold_chair 2 18 1 4 2
c318 gold_chair 3 18 1 4 2
c1418 gold_chair 14 18 1 0 2
c1518 gold_chair 15 18 1 0 2
c019 gold_chair 0 19 1 2 2
c020 gold_chair 0 20 1 2 2
t220 gold_table_small1 2 20 1 0 1
y320 gold_table_small2 3 20 1 0 1
c021 gold_chair 0 21 1 2 2
p022 gold_plant 0 22 1 0 1
c122 gold_chair 1 22 1 0 2
c222 gold_chair 2 22 1 0 2
c322 gold_chair 3 22 1 0 2
p023 gold_plant 0 23 1 0 1
c123 gold_chair 1 23 1 4 2
c223 gold_chair 2 23 1 4 2
c323 gold_chair 3 23 1 4 2
c024 gold_chair 0 24 1 2 2
c025 gold_chair 0 25 1 2 2
t225 gold_table_small1 2 25 1 0 1
y325 gold_table_small2 3 25 1 0 1
c026 gold_chair 0 26 1 2 2
c127 gold_chair 1 27 1 0 2
c227 gold_chair 2 27 1 0 2
c327 gold_chair 3 27 1 0 2
