253 flower2b 2 28 7 0 
254 flower2a 2 29 7 0 
255 flower2b 19 30 7 0 
256 flower2a 19 31 7 0 
257 box 6 32 7 0 
258 flower1 13 33 7 0 
259 pool_chairy 10 34 7 4 
260 umbrellay 8 35 7 0 
261 pool_chairy 9 35 7 2 
262 pool_tabley 10 35 7 0 
263 pool_chairy 11 35 7 6 
264 umbrellap 15 35 7 0 
265 pool_chairy 10 36 7 0 
266 pool_chairp 15 36 7 4 
267 pool_chairo 22 36 7 4 
268 pool_chairp 14 37 7 2 
269 pool_tablep 15 37 7 0 
270 pool_chairp 16 37 7 6 
271 umbrellao 20 37 7 0 
272 pool_chairo 21 37 7 2 
273 pool_tabo 22 37 7 0 
274 pool_chairo 22 38 7 0 
275 pool_chairg 18 42 7 4 
276 umbrellag 16 43 7 0 
277 pool_chairg 17 43 7 2 
278 pool_tablg 18 43 7 0 
279 pool_chairg 19 43 7 6 
280 pool_chairg 18 44 7 0 
